ID;UrunAdi;Kategori;IlgiAlani;Marka;Fiyat;YasGrubu;PopulerlikPuan
1;Sephora Bakim Nemlendirici;Kozmetik;Bakim;Sephora;721.13;Yetiskin;6
2;Fisher-Price Klasik Koleksiyonu;Oyuncak;Klasik;Fisher-Price;1907.04;Yetiskin;77
3;Can Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Can Yayinlari;499.18;Genc;64
4;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;5921.19;Cocuk;88
5;Lenovo Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Lenovo;37516.53;Cocuk;13
6;Hot Wheels Klasik Paketi;Oyuncak;Klasik;Hot Wheels;2898.10;Cocuk;76
7;Prada Klasik Saat;Moda;Klasik;Prada;2340.14;Cocuk;59
8;Yamaha Studyo Enstrüman;Muzik;Studyo;Yamaha;18121.75;Yasli;98
9;Is Bankasi Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Is Bankasi Yayinlari;318.15;Yetiskin;20
10;Can Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Can Yayinlari;212.11;Yetiskin;74
11;LOreal Makyaj Ruj;Kozmetik;Makyaj;LOreal;1017.69;Cocuk;4
12;Gibson Analog Pikap;Muzik;Analog;Gibson;12047.35;Yetiskin;48
13;Liquitex Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Liquitex;4341.87;Yetiskin;77
14;LOreal Bakim Ruj;Kozmetik;Bakim;LOreal;1444.74;Cocuk;10
15;Xiaomi Ev Ofis Akıllı Saat;Teknoloji;Ev Ofis;Xiaomi;39488.03;Genc;32
16;Pasabahce Konfor Kahve Makinesi;Ev-Yasam;Konfor;Pasabahce;8488.09;Genc;59
17;Pegasus Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Pegasus;178.16;Genc;3
18;Spin Master Aksiyon Seti;Oyuncak;Aksiyon;Spin Master;4000.54;Cocuk;43
19;Alfa Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Alfa Yayinlari;62.29;Genc;5
20;Huawei Yazilim Tablet;Teknoloji;Yazilim;Huawei;19017.95;Cocuk;22
21;Goodyear Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Goodyear;14668.21;Yasli;42
22;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;14645.31;Genc;31
23;Zara Aksesuar Parfüm;Moda;Aksesuar;Zara;5425.47;Yasli;7
24;English Home Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;English Home;4055.71;Cocuk;11
25;Liquitex Resim Seti;Hobi-Sanat;Resim;Liquitex;937.21;Genc;99
26;Castelli Fitness Spor Çantası;Spor;Fitness;Castelli;702.72;Genc;94
27;Dior Bakim Ruj;Kozmetik;Bakim;Dior;1823.33;Yetiskin;23
28;Razer E-Spor Paketi;Oyun;E-Spor;Razer;2655.32;Yetiskin;95
29;Mattel Klasik Paketi;Oyuncak;Klasik;Mattel;2826.27;Genc;12
30;Gibson Studyo Pikap;Muzik;Studyo;Gibson;16035.40;Yetiskin;6
31;3M Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;3M;2373.07;Yasli;11
32;Reebok Fitness Eşofman Takımı;Spor;Fitness;Reebok;3762.08;Yasli;22
33;LEGO Aksiyon Seti;Oyuncak;Aksiyon;LEGO;3475.33;Genc;26
34;Lancome Bakim Ruj;Kozmetik;Bakim;Lancome;1942.88;Yasli;10
